TOKEN	L1_PRIM	L1_SEC	L2_PRIM	L2_SEC	L3_PRIM	L3_SEC
go	0	0	0	0	0	0
tsena	0	0	0	0	0	1
mo	0	0	0	0	0	0
nyalong.	0	0	0	0	0	0

Ka	0	0	0	1	0	0
bobedi	0	0	0	1	0	1
ba	0	0	0	0	0	0
tshwanetse	0	0	1	0	0	1
go	0	0	0	0	0	0
dumela	0	0	0	0	0	0
go	0	0	0	0	0	0
nyalana	0	0	0	0	0	1
go	1	0	0	0	0	0
ya	0	0	0	0	0	0
ka	0	0	0	0	0	0
molao	0	0	0	0	0	0
wa	0	0	0	0	0	0
setso.	0	0	0	0	1	0

Senotlolo	0	0	0	0	0	0
sa	0	0	0	0	0	0
papatso	0	0	0	0	1	0
e	0	0	0	0	0	1
e	0	0	1	0	0	0
atlegileng	0	0	0	0	0	1
ya	0	0	0	0	0	0
kgwebo	0	0	0	0	0	0
ya	1	0	0	0	0	0
gago.	0	0	0	0	0	0

Ke	0	0	0	1	0	0
go	0	0	0	1	0	0
supa	0	0	1	0	1	0
ditlhokego	0	0	0	0	0	1
tsa	0	0	0	0	0	0
bareki	0	0	0	0	0	0
ba	0	0	0	0	0	0
gago	0	0	0	0	0	0
le	0	0	0	0	0	0
se	0	0	0	0	0	1
ba	0	0	0	0	0	0
se	1	0	0	0	0	0
batlang.	0	0	0	0	0	1

Ka	0	0	0	1	0	0
lesego	0	0	0	1	1	0
leano	0	0	0	0	0	0
la	0	0	0	0	0	0
papatso	0	0	0	0	0	1
ke	0	0	0	0	0	0
sengwe	0	0	1	0	0	0
se	0	0	0	0	0	0
o	0	0	0	0	0	0
tla	0	0	0	0	0	0
se	1	0	0	0	0	0
dirisang	0	0	0	0	0	1
ka	0	0	0	0	0	0
metlha.	0	0	0	0	0	1

Mme	0	0	0	1	0	1
se	0	0	0	0	0	0
tla	0	0	0	1	1	0
gola	0	0	1	0	0	1
le	0	0	0	0	0	0
go	0	0	0	0	0	0
fetoga	0	0	0	0	0	1
le	1	0	0	0	0	0
kgwebo	0	0	0	0	0	0
ya	0	0	0	0	0	0
gago.	0	0	0	0	0	0

Ke	0	0	0	0	0	0
tshwanetse	0	0	0	1	0	0
go	0	0	0	0	0	0
dira	0	0	0	0	0	0
eng	0	0	0	0	0	1
fa	0	0	0	0	0	0
akhaonto	0	0	0	0	0	1
ya	0	0	0	0	0	0
banka	0	0	0	0	0	1
e	0	0	0	0	0	0
tšhelete	0	0	0	0	1	0
e	0	0	0	0	0	0
neng	0	0	0	0	0	0
e	1	0	0	0	0	0
tshwanetse	0	0	0	0	0	1
go	0	0	0	0	0	0
tsenngwa	0	0	0	0	0	1
ka	0	0	0	0	0	0
mo	0	0	0	0	0	0
go	0	0	0	0	0	0
yona	0	0	0	0	0	1
e	0	0	0	1	0	0
tswetswe?	0	0	1	0	0	1

Ba	0	0	0	0	0	0
lemoga	0	0	0	1	0	1
le	0	0	0	0	0	0
go	0	0	0	0	0	0
dirisa	0	0	0	0	0	0
ditlhangwa	0	0	0	0	1	0
tse	1	0	0	0	0	0
di	0	0	0	0	0	0
maleba	0	0	1	0	0	1
tsa	0	0	0	0	0	0
molomo.	0	0	0	0	0	0

Le	0	0	0	0	0	0
tirisopuo	0	0	0	0	1	0
mo	0	0	0	0	0	0
maemong	0	0	0	0	0	1
a	0	0	0	0	0	0
semmuso	0	0	0	0	0	0
le	0	0	0	0	0	0
a	0	0	0	1	0	0
e	0	0	0	1	0	0
seng	0	0	1	0	0	1
a	1	0	0	0	0	0
semmuso.	0	0	0	0	0	0

Mabaka	0	0	1	0	0	1
a	0	0	0	0	0	0
kgatlhego	0	0	0	0	1	0
kgotsa	0	0	0	0	0	1
poelo	0	0	0	0	0	1
e	0	0	0	0	0	0
motho	0	0	0	0	0	0
yo	0	0	0	0	0	0
a	1	0	0	0	0	0
mo	0	0	0	0	0	0
tlisetsang	0	0	0	0	0	0
kopo	0	0	0	0	0	0
a	0	0	0	0	0	0
nang	0	0	0	0	0	1
le	0	0	0	0	0	0
yona.	0	0	0	0	0	0

Ka	0	0	0	0	0	0
go	0	0	0	0	0	0
tshela	0	0	0	0	1	0
sentle	0	0	1	0	0	1
ga	0	0	0	0	0	0
mongongoregi.	1	0	0	0	0	0

Peeletso	0	0	0	1	1	0
e	0	0	0	1	0	0
farologana	0	0	1	0	0	0
go	0	0	0	0	0	0
tswa	0	0	0	0	0	1
go	0	0	0	0	0	0
diranta	0	0	0	0	0	1
di	0	0	0	0	0	0
le	0	0	0	0	0	0
dimilione	0	0	0	0	0	0
di	0	0	0	0	0	0
le	1	0	0	0	0	0
tharo.	0	0	0	0	0	0

Go	0	0	0	0	0	0
ya	0	0	0	0	0	0
go	0	0	0	1	0	0
diranta	0	0	0	0	1	0
di	0	0	0	0	0	0
le	0	0	1	0	0	0
dimilione	0	0	0	0	0	0
di	1	0	0	0	0	0
le	0	0	0	0	0	0
lesome.	0	0	0	0	0	0

Ga	0	0	0	1	0	0
go	0	0	0	1	0	0
ope	0	0	1	0	0	1
yo	0	0	0	0	0	0
o	0	0	0	0	0	0
tshwanetseng	0	0	0	0	0	1
go	1	0	0	0	0	0
ikgatholosa	0	0	0	0	1	0
diteng	0	0	0	0	0	0
tsa	0	0	0	0	0	0
kitsiso	0	0	0	0	0	0
e	0	0	0	0	0	0
e	0	0	0	0	0	0
jalo.	0	0	0	0	0	1

Mme	0	0	0	1	0	1
e	0	0	0	0	0	0
tshwanetse	0	0	0	0	0	1
ya	0	0	0	0	0	0
ikobelwa	0	0	0	0	1	0
ka	1	0	0	0	0	0
gangwe	0	0	0	0	0	0
fela.	0	0	1	0	0	1

Go	0	0	0	1	0	0
na	0	0	0	1	0	0
le	0	0	0	1	0	0
mekgatlho	0	0	0	1	0	0
e	0	0	0	0	0	0
mengwe	0	0	1	0	0	0
kwa	0	0	0	0	0	0
ntle	1	0	0	0	0	1
ga	0	0	0	0	0	0
kgaolo	0	0	0	0	1	0
ya	0	0	0	0	0	0
ditheo	0	0	0	0	0	1
tse	0	0	0	0	0	0
robong.	0	0	0	0	0	0

E	1	0	0	0	0	0
e	0	0	0	0	0	0
tlhomilweng	0	0	0	0	0	1
go	0	0	0	0	0	0
tiisetsa	0	0	1	0	1	0
temokerasi	0	0	0	0	0	0
ya	0	0	0	0	0	0
rona.	0	0	0	0	0	0

Khopi	0	0	0	1	1	0
ya	0	0	0	0	0	0
fekese	0	0	0	0	0	0
e	0	0	0	0	0	0
e	0	0	0	0	0	0
pakang	0	0	1	0	0	0
gore	0	0	0	0	0	0
setlankana	0	0	0	0	0	1
kgotsa	0	0	0	0	0	1
bopaki	0	0	0	0	0	0
bongwe	0	0	0	0	0	0
le	0	0	0	0	0	0
bongwe.	1	0	0	0	0	0

Jo	0	0	0	1	0	1
bo	0	0	0	1	0	0
supang	0	0	0	0	1	0
fa	0	0	0	0	0	0
tirelo	0	0	0	0	0	1
e	0	0	0	0	0	1
e	1	0	0	0	0	0
diragaditswe.	0	0	1	0	0	0

Mosola	0	0	0	1	0	0
o	0	0	0	0	1	0
mogolo	0	0	0	0	0	1
wa	0	0	0	0	0	0
sona	0	0	0	0	0	1
ke	0	0	0	0	0	0
go	0	0	0	1	0	0
sola	0	0	0	1	0	1
molemo	0	0	0	0	0	1
le	0	0	0	0	0	0
thekenoloji	0	0	0	0	0	0
e	0	0	0	1	0	0
e	1	0	1	0	0	0
tlhabolotsweng.	0	0	0	0	0	0

Mmogo	0	0	1	0	1	0
le	0	0	0	0	0	0
go	1	0	0	0	0	0
e	0	0	0	0	0	0
rekisa	0	0	0	0	0	1
mo	0	0	0	0	0	0
lephateng	0	0	0	0	0	1
leno.	0	0	0	0	0	1

Le	0	0	0	1	0	0
kwa	0	0	0	1	1	0
ntle	0	0	0	1	0	1
ga	0	0	0	0	0	0
foo	0	0	0	0	0	1
ngwanake	0	0	0	1	0	0
o	0	0	0	0	0	0
tshwanetse	0	0	0	0	0	1
go	0	0	0	0	0	0
tshela	0	0	1	0	0	0
mebila	0	0	0	0	0	0
e	0	0	0	0	0	0
le	1	0	0	0	0	0
meraro.	0	0	0	0	0	0

Pele	0	0	0	1	1	0
a	0	0	0	0	0	0
goroga	0	0	0	0	0	1
kwa	0	0	0	0	0	0
ngwaneng	1	0	0	0	0	0
yo	0	0	0	0	0	1
o	0	0	0	0	0	0
nang	0	0	1	0	0	1
le	0	0	0	0	0	0
buka.	0	0	0	0	0	0

Pholisi	0	0	0	0	0	1
ya	0	0	0	0	0	0
Borithane	0	0	0	0	1	0
ya	0	0	0	0	0	0
taolo	0	0	0	0	0	0
e	0	0	0	0	0	0
e	1	0	0	0	0	0
sa	0	0	1	0	0	1
tlhamalalang	0	0	0	0	0	1
e	0	0	0	1	0	0
ne	0	0	0	0	0	0
ya	0	0	0	0	0	0
dirisiwa.	0	0	0	0	0	0

Go	0	0	0	0	0	0
laola	0	0	0	0	0	1
le	0	0	0	1	0	0
go	1	0	0	1	0	0
dirisa	0	0	0	0	0	0
dithata	0	0	0	0	1	0
tsa	0	0	0	0	0	0
ona	0	0	1	0	0	1
botlhaswa.	0	0	0	0	0	1

Kgatelelo	0	0	0	1	1	0
ya	1	0	0	0	0	0
metsi	0	0	0	0	0	0
ka	0	0	0	0	0	0
motsi	0	0	0	0	0	1
wa	0	0	0	0	0	0
dikgato	0	0	0	0	0	0
tse.	0	0	1	0	0	1

e	0	0	0	1	0	0
ka	0	0	0	1	0	0
tlhola	0	0	0	0	0	1
boleng	0	0	0	0	0	0
jo	0	0	0	0	0	0
bo	0	0	0	0	0	0
bokoa	1	0	1	0	0	1
jwa	0	0	0	0	0	0
ditlhaka	0	0	0	0	1	0
le	0	0	0	0	0	0
tshenyego	0	0	0	0	0	1
e	0	0	0	0	0	0
kgolo	0	0	0	0	0	0
ya	0	0	0	0	0	0
dijalo.	0	0	0	0	0	0

Tshosobanyo	0	0	0	0	0	0
e	0	0	0	0	0	0
ya	0	0	0	0	0	0
kgetse	0	0	0	0	0	1
e	0	0	0	1	0	0
tla	0	0	1	0	1	0
bontsha	0	0	0	0	0	1
mabaka	0	0	0	0	0	0
le	0	0	0	0	0	0
kopo	0	0	0	0	0	0
ya	0	0	0	0	0	0
ditirelo	0	0	0	0	0	1
e	0	0	0	0	0	0
e	1	0	0	0	0	0
batliwang.	0	0	0	0	0	0

Go	0	0	0	0	0	0
tswa	0	0	0	0	1	0
kwa	0	0	0	1	0	0
dinageng	1	0	0	0	0	0
tsa	0	0	0	0	0	0
boditšhaba.	0	0	1	0	0	1

Go	0	0	0	0	0	0
tsaya	0	0	0	0	0	1
karolo	0	0	0	0	0	0
ga	0	0	0	0	0	1
batho	0	0	0	0	1	0
go	0	0	0	1	0	0
letlelela	0	0	1	0	0	0
mongwe	1	0	0	0	0	0
le	0	0	0	0	0	0
mongwe.	0	0	0	0	0	0

Yo	0	0	0	0	0	1
o	0	0	0	0	0	0
ratang	0	0	0	0	0	0
go	0	0	0	0	0	0
tsaya	0	0	0	0	1	0
karolo	0	0	0	0	0	0
mo	0	0	0	0	0	0
taolong	0	0	1	0	0	0
ya	0	0	0	0	0	0
metsi	0	0	0	0	0	1
go	1	0	0	0	0	0
dira	0	0	0	1	0	0
jalo.	0	0	0	0	0	0

Leina	0	0	0	1	0	0
la	0	0	0	1	0	0
seteišene	0	0	0	0	0	0
sa	0	0	0	0	0	0
mapodisi	0	0	0	0	0	0
kwa	0	0	0	0	0	1
mongongoregi	0	0	0	0	0	0
a	0	0	0	0	0	0
ka	0	0	0	0	0	0
begang	0	0	1	0	0	0
tlolo	1	0	0	0	1	0
ya	0	0	0	0	0	0
taelo	0	0	0	0	0	0
ya	0	0	0	0	0	0
tshireletso.	0	0	0	0	0	1

E	0	0	0	0	0	0
go	0	0	0	0	0	0
dirwang	1	0	1	0	0	0
kopo	0	0	0	0	1	0
ya	0	0	0	0	0	0
yona.	0	0	0	0	0	1

Letshwao	0	0	0	0	1	0
leno	0	0	0	0	0	1
le	0	0	0	1	0	0
kaela	0	0	0	0	0	1
badirisi	0	0	0	0	0	0
ba	0	0	0	0	0	0
tsela	0	0	0	0	0	0
gore	0	0	0	0	0	1
ga	0	0	0	0	0	0
go	0	0	0	0	0	0
a	0	0	0	0	0	0
letlelelwa	0	0	1	0	0	1
go	1	0	0	0	0	0
emisa.	0	0	0	0	0	0

Mo	0	0	0	0	0	1
dinakong	1	0	0	0	0	0
tse	0	0	0	0	0	0
di	0	0	0	0	0	0
kailweng	0	0	1	0	1	0
mo	0	0	0	0	0	0
letshwaong.	0	0	0	0	0	1

o	0	0	0	1	0	0
seke	0	0	1	0	0	1
wa	0	0	0	0	0	0
dirisa	0	0	0	0	0	0
tsela	0	0	0	0	0	0
gongwe	0	0	0	0	0	1
karolo	0	0	0	0	0	0
ya	0	0	0	0	0	0
yona	0	0	0	0	0	1
fa	0	0	0	1	0	0
o	0	0	0	1	0	0
fitlhelang	0	0	0	0	1	0
letshwao	1	0	0	0	0	0
leno	0	0	0	0	0	1
le	0	0	0	0	0	0
beilwe	0	0	0	0	0	0
gona.	0	0	0	0	0	1

Ntle	0	0	1	0	0	1
le	0	0	0	0	0	0
fa	0	0	0	0	0	0
o	0	0	0	0	0	0
neilwe	1	0	0	0	0	0
tetla.	0	0	0	0	1	0

E	0	0	0	1	0	0
tiisetsa	0	0	1	0	0	1
filosofi	0	0	0	0	0	0
ya	0	0	0	0	0	0
kabo	0	0	0	0	1	0
gape	0	0	0	0	0	1
ya	0	0	0	0	0	0
lefatshe	1	0	0	0	0	0
le	0	0	0	0	0	0
le	0	0	0	0	0	0
thusiwang	0	0	0	0	0	1
ke	0	0	0	0	0	0
mmaraka.	0	0	0	0	0	0

Ya	0	0	0	0	0	0
lenaneo	0	0	0	0	1	0
la	0	0	0	0	0	0
pejana	0	0	0	0	0	1
la	0	0	0	0	0	0
phetogo	0	0	1	0	0	0
ya	1	0	0	0	0	0
lefatshe.	0	0	0	0	0	0

Netefaletsong	0	0	0	1	0	1
kwa	0	0	0	0	0	1
molwetseng	0	0	0	0	0	0
e	0	0	0	1	0	0
e	0	0	0	1	0	0
isang	0	0	1	0	0	1
kwa	1	0	0	0	0	0
botshepeging	0	0	0	0	1	0
bo	0	0	0	0	0	0
bo	0	0	0	0	0	0
oketsegileng.	0	0	0	0	0	1

Mo	0	0	0	1	0	0
mokgweng	1	0	1	0	1	0
wa	0	0	0	0	0	0
tlhokomelo	0	0	0	0	0	1
ya	0	0	0	0	0	0
boitekanelo.	0	0	0	0	0	0

Dikomiti	0	0	0	1	0	0
di	0	0	0	1	0	0
rwele	0	0	1	0	1	0
maikarabelo	0	0	0	0	0	0
a	0	0	0	0	0	0
go	0	0	0	0	0	0
lebelela	0	0	0	0	0	1
merero	1	0	0	0	0	0
ya	0	0	0	0	0	0
bašwa.	0	0	0	0	0	0

Mme	0	0	0	0	0	1
e	0	0	0	0	0	0
tshwanetse	0	0	0	0	1	0
go	0	0	0	0	0	0
mekamekana	0	0	0	0	0	0
le	0	0	0	0	0	0
molao	0	0	0	0	0	1
o	0	0	0	1	0	1
o	1	0	1	0	0	0
amang	0	0	0	0	0	0
bašwa.	0	0	0	0	0	0

Mo	0	0	0	0	0	0
robotong	0	0	0	0	0	1
o	0	0	0	1	0	0
tsena	0	0	0	0	1	0
mo	0	0	0	0	0	0
mojeng	0	0	0	0	0	1
go	0	0	0	0	0	0
fitlha	0	0	1	0	0	0
o	0	0	0	0	0	0
bona	0	0	0	0	0	0
lebenkele	1	0	0	0	0	0
la	0	0	0	0	0	0
dijo.	0	0	0	0	0	0

Mme	0	0	0	0	0	1
lebenkele	1	0	0	0	0	0
la	0	0	0	0	0	0
ga	0	0	0	0	0	0
rre	0	0	0	0	1	0
Modise	0	0	0	1	0	1
le	0	0	0	0	0	0
lebagane	0	0	1	0	0	0
le	0	0	0	0	0	0
lona.	0	0	0	0	0	1

Nama	0	0	0	0	1	0
e	0	0	0	1	0	0
e	0	0	0	1	0	0
ikaeletsweng	0	0	0	1	0	0
go	0	0	0	0	0	0
romelwa	0	0	0	0	0	0
ntle	0	0	0	0	0	1
e	1	0	0	0	0	0
tshwanetse	0	0	1	0	0	1
go	0	0	0	0	0	0
tshwaiwa.	0	0	0	0	0	1

Go	0	0	0	0	0	0
ya	0	0	0	0	0	0
ka	0	0	0	0	0	0
ditlhokego	0	0	1	0	1	0
tsa	0	0	0	0	0	1
lefatshe	0	0	0	0	0	0
le	0	0	0	0	0	0
le	1	0	0	0	0	0
romelang	0	0	0	0	0	0
teng.	0	0	0	0	0	1

Tsholo	0	0	0	0	0	1
e	0	0	0	1	0	0
e	0	0	0	1	0	0
itlhophileng	0	0	0	0	0	1
e	0	0	0	1	0	0
tla	0	0	1	0	0	0
fiwa	0	0	0	0	0	0
mekgatlho	0	0	0	0	0	0
e	1	0	0	0	0	0
e	0	0	0	0	0	0
sa	0	0	0	0	0	1
boneng	0	0	0	0	0	0
lotseno	0	0	0	0	0	0
lo	0	0	0	0	0	0
lo	0	0	0	0	0	0
tlhomilweng.	0	0	0	0	1	0

Go	0	0	0	1	0	0
thusa	0	0	1	0	1	0
setšhaba	1	0	0	0	0	1
ka	0	0	0	0	0	0
kakaretso.	0	0	0	0	0	0

Mothapi	0	0	0	0	0	1
o	0	0	0	0	0	0
ya	0	0	0	0	0	0
go	0	0	0	0	0	0
go	0	0	0	0	0	0
itsise	0	0	0	0	0	1
ka	0	0	0	1	0	0
ga	0	0	0	1	0	0
diphitlhelelo	0	0	0	0	0	0
tsa	0	0	0	0	0	0
yona	0	0	0	0	0	1
le	0	0	0	1	0	0
go	1	0	0	1	0	0
tsaya	0	0	0	0	1	0
kgato	0	0	1	0	0	0
e	0	0	0	0	0	0
e	0	0	0	0	0	0
maleba.	0	0	0	0	0	0

Go	0	0	0	0	0	0
ya	0	0	1	0	0	0
ka	0	0	0	0	0	0
diphitlhelelo	1	0	0	0	1	0
tsa	0	0	0	0	0	0
yona.	0	0	0	0	0	0

Maikemisetso	0	0	0	0	0	0
ano	0	0	0	0	1	0
a	0	0	0	1	0	0
tla	0	0	0	1	0	0
neelwa	0	0	1	0	0	1
moithuti	0	0	0	0	0	1
mongwe	0	0	0	0	0	0
le	0	0	0	0	0	0
mongwe.	1	0	0	0	0	0

Ka	0	0	0	0	0	0
puo	0	0	0	0	1	0
ya	0	0	0	0	0	0
semmuso	0	0	0	0	0	1
e	0	0	0	1	0	0
go	0	0	0	1	0	0
rutiwang	0	0	1	0	0	0
ka	0	0	0	0	0	0
yona	0	0	0	0	0	1
ka	0	0	0	0	0	0
nako	0	0	0	0	0	0
ya	1	0	0	0	0	0
ikwadiso.	0	0	0	0	0	0

Ikgogela	0	0	0	1	0	0
morago	0	0	0	0	0	0
mo	0	0	0	0	0	0
go	0	0	0	0	0	0
diriseng	0	0	0	0	0	0
puo	0	0	0	0	0	1
e	0	0	0	0	0	0
e	1	0	0	0	0	0
nyenyefatsang.	0	0	1	0	1	0

Le	0	0	0	0	0	0
matshwao	0	0	0	1	1	0
a	0	0	0	0	0	0
a	1	0	0	0	0	0
sotlang	0	0	1	0	0	1
mo	0	0	0	0	0	0
dikgolaganong	0	0	0	0	0	0
tsa	0	0	0	0	0	0
rona	0	0	0	0	0	0
le	0	0	0	0	0	0
ba	0	0	0	0	0	0
bangwe.	0	0	0	0	0	0

A	0	0	0	0	0	0
go	0	0	0	0	0	0
bonelwa	0	0	0	0	0	0
pele	0	0	1	0	1	0
kgonagalo	0	0	0	0	0	0
ya	0	0	0	0	0	0
go	1	0	0	0	0	0
robadiwa	0	0	0	0	0	0
kwa	0	0	0	0	0	1
sepetlele	0	0	0	1	0	1
malebana	0	0	0	0	0	1
le	0	0	0	0	0	0
kalafi	0	0	0	0	0	0
ya	0	0	0	0	0	0
isago.	0	0	0	0	0	0

e	1	0	0	0	0	1
e	0	0	0	0	0	0
kailweng	0	0	0	0	1	0
mo	0	0	0	0	0	0
go	0	0	0	0	0	0
a	0	0	0	0	0	0
fa	0	0	1	0	0	0
godimo.	0	0	0	0	0	1

Paka	0	0	0	0	1	0
ya	0	0	0	0	0	0
go	0	0	0	0	0	0
fetolwa	0	0	0	0	0	0
ga	0	0	0	0	0	0
laesense	0	0	0	0	0	0
go	0	0	0	0	0	0
farologana	0	0	1	0	0	1
go	1	0	0	0	0	0
ya	0	0	0	0	0	0
ka	0	0	0	0	0	0
mafelo	0	0	0	0	0	0
a	0	0	0	0	0	0
diteko.	0	0	0	0	0	0

Ka	0	0	0	0	0	0
ntlha	0	0	0	0	0	1
ya	0	0	0	0	0	0
ditiragalo	0	0	0	0	0	0
tsa	0	0	0	1	1	0
fa	0	0	0	1	0	0
teng	0	0	1	0	0	1
tsa	1	0	0	0	0	0
boruni.	0	0	0	0	0	0

Fa	0	0	0	1	0	0
molwetse	0	0	0	0	0	0
gotlhelele	0	0	0	0	0	0
a	0	0	0	1	0	0
sa	0	0	0	1	0	0
kgone	0	0	1	0	0	1
go	0	0	0	0	0	0
dira	0	0	0	0	0	0
kgotsa	0	0	0	0	0	0
a	0	0	0	0	0	1
molwetse	1	0	0	0	0	0
o	0	0	0	0	0	0
tla	0	0	0	0	1	0
kgona	0	0	0	0	0	0
go	0	0	0	0	0	0
dira.	0	0	0	0	0	0

Ditiro	0	0	0	0	0	0
tse	0	0	0	1	0	0
di	0	0	0	1	0	0
seng	0	0	1	0	0	0
thata	0	0	0	0	1	0
kwa	0	0	0	0	0	1
tirong.	1	0	0	0	0	0

o	0	0	0	1	0	0
ne	0	0	0	0	0	0
a	0	0	0	1	0	0
akanya	0	0	1	0	1	0
ka	0	0	0	0	0	0
mo	0	0	0	0	0	0
gongwe	0	0	0	0	0	1
a	0	0	0	0	0	0
ka	0	0	0	0	0	0
bong	0	0	0	0	0	1
a	0	0	0	0	0	0
sa	0	0	0	0	0	0
fitlhelela	1	0	0	0	0	0
tse	0	0	0	0	0	1
a	0	0	0	0	0	0
di	0	0	0	0	0	0
fitlheletseng.	0	0	0	0	0	0

Fa	0	0	0	0	0	0
e	0	0	0	0	0	0
ka	0	0	0	0	0	0
bo	0	0	0	0	0	1
e	0	0	0	0	0	0
se	0	0	1	0	0	0
ka	0	0	0	0	0	0
matsapa	1	0	0	0	0	1
a	0	0	0	0	0	0
ga	0	0	0	0	0	0
mmaagwe.	0	0	0	0	1	0

Motheo	0	0	0	0	0	1
wa	0	0	0	0	0	0
ikonomi	0	0	0	0	0	0
ya	0	0	0	0	0	0
rona	0	0	0	0	0	1
o	0	0	0	0	0	0
tsepame	0	0	1	0	1	0
mme	0	0	0	0	0	0
o	0	0	0	0	0	0
tsile	0	0	0	0	0	1
go	0	0	0	0	0	0
bonwa	0	0	0	0	0	1
gore	0	0	0	0	0	0
o	0	0	0	0	0	0
tsepame	1	0	0	0	0	1
jang.	0	0	0	0	0	0

Mo	0	0	0	0	0	0
dingwageng	1	0	0	0	0	0
tse	0	0	0	0	0	0
pedi	0	0	0	0	1	0
tse	0	0	0	0	0	1
di	0	0	0	0	0	0
latelang.	0	0	1	0	0	0

o	0	0	0	1	0	0
seke	0	0	0	1	0	1
wa	0	0	0	0	0	0
emisa	0	0	0	0	0	0
go	0	0	0	0	0	0
bapa	0	0	0	0	1	0
le	0	0	0	0	0	0
mola	0	0	0	0	0	0
o	0	0	0	0	0	0
mohibidu	0	0	1	0	0	1
ntle	0	0	0	0	0	1
le	0	0	0	0	0	0
fa	0	0	0	0	0	0
o	0	0	0	0	0	0
kaelwa	1	0	0	0	0	1
ke	0	0	0	0	0	0
letshwao	0	0	0	0	0	1
la	0	0	0	0	0	0
tsela.	0	0	0	0	0	0

Gongwe	0	0	0	0	0	0
motlhankedi	1	0	1	0	1	0
wa	0	0	0	0	0	0
pharakano.	0	0	0	0	0	1

Fa	0	0	0	0	0	0
mekgatlho	0	0	0	0	1	0
e	0	0	0	1	0	0
e	0	0	0	1	0	0
mo	0	0	0	0	0	0
thulanong	0	0	0	0	0	1
e	1	0	0	0	0	0
sa	0	0	0	0	0	0
kgone	0	0	1	0	0	0
go	0	0	0	0	0	0
rarabolola	0	0	0	0	0	0
bothata.	0	0	0	0	0	1

Ka	0	0	0	0	0	0
go	0	0	0	0	0	0
rialo	0	0	0	0	0	1
ba	0	0	0	1	0	0
ka	0	0	0	1	0	0
romela	0	0	1	0	0	0
kgetse	1	0	0	0	1	0
kwa	0	0	0	0	0	1
dikgotlatshekelo.	0	0	0	0	0	0

Se	0	0	0	1	0	1
se	0	0	0	0	0	0
tla	0	0	0	0	0	0
thusa	0	0	0	0	0	1
go	0	0	0	0	0	0
tsaya	0	0	0	0	0	0
tshweetso	0	0	0	0	1	0
e	0	0	0	0	0	0
e	0	0	0	0	0	0
tshwanetseng	0	0	1	0	0	0
le	0	0	0	0	0	0
e	0	0	0	0	0	0
e	1	0	0	0	0	0
lolameng.	0	0	0	0	0	0

Le	0	0	0	0	0	0
go	0	0	0	0	0	0
akaretsa	1	0	0	0	0	0
baagi	0	0	0	0	1	0
kwa	0	0	0	0	0	1
tshimologong	0	0	1	0	0	0
ya	0	0	0	0	0	0
tiro	0	0	0	0	0	0
e.	0	0	0	0	0	1

Se	0	0	0	1	0	1
se	0	0	0	0	0	0
raya	0	0	0	0	0	0
gore	0	0	0	0	0	1
mongwe	0	0	0	0	0	0
le	0	0	0	0	0	0
mongwe	1	0	0	0	0	0
o	0	0	0	0	0	0
na	0	0	0	0	0	0
le	0	0	0	0	0	0
tshwanelo	0	0	1	0	0	1
ya	0	0	0	0	0	0
go	0	0	0	0	0	0
tsholwa	0	0	0	0	1	0
ka	0	0	0	0	0	0
tlotlo	0	0	0	0	0	1
le	0	0	0	0	0	0
ka	0	0	0	0	0	0
seriti.	0	0	0	0	0	0

Ke	0	0	0	0	0	0
mongwe	0	0	0	0	0	0
le	0	0	0	0	0	1
mongwe	1	0	0	0	0	0
le	0	0	1	0	0	0
puso.	0	0	0	0	1	0

Repoto	0	0	0	1	0	1
e	0	0	0	0	0	1
e	0	0	0	0	0	0
tshwanetse	0	0	0	0	0	0
go	0	0	0	0	0	0
kwalwa	1	0	0	0	1	0
ke	0	0	0	0	0	0
ngaka	0	0	0	0	0	1
ya	0	0	0	0	0	0
gago	0	0	1	0	0	1
o	0	0	0	0	0	0
a	0	0	0	0	0	0
tlhatlhobileng	0	0	0	0	0	0
mokopi.	0	0	0	0	0	0

Gore	0	0	0	1	0	0
a	0	0	0	0	0	0
kgone	0	0	0	0	0	1
go	0	0	0	0	0	0
netefatsa	1	0	0	0	0	0
bong	0	0	1	0	1	0
jwa	0	0	0	0	0	0
gagwe.	0	0	0	0	0	1

A	0	0	0	0	0	0
Tlhagiso	0	0	0	1	1	0
ya	0	0	0	0	0	0
gago	0	0	0	0	0	0
tebang	0	0	0	0	0	1
le	0	0	0	0	0	0
sebopego	0	0	0	0	0	0
se	1	0	0	0	0	1
se	0	0	0	0	0	0
kopiwang	0	0	1	0	0	0
sa	0	0	0	0	0	0
phitlhelelo.	0	0	0	0	0	0

e	0	0	0	1	0	0
laolwa	0	0	0	1	1	0
ke	0	0	0	0	0	0
sebopego	0	0	1	0	0	0
se	0	0	0	0	0	0
rekoto	0	0	0	0	0	1
e	1	0	0	0	0	0
leng	0	0	0	0	0	0
mo	0	0	0	0	0	0
go	0	0	0	0	0	0
sona.	0	0	0	0	0	1

Le	0	0	0	1	0	0
kaya	0	0	0	1	0	1
gore	0	0	0	1	0	0
tsela	0	0	0	0	0	0
ya	0	0	0	0	0	0
botlhe	0	0	0	0	1	0
gongwe	0	0	1	0	0	0
karolo	0	0	0	0	0	0
